X_m,Pressure_Pa
1.30761296e-01,2.75517617e+04
1.31262302e-01,2.72593203e+04
1.31763309e-01,2.69668789e+04
1.32264316e-01,2.66744375e+04
1.32765323e-01,2.63819980e+04
1.33266330e-01,2.60895547e+04
1.33767337e-01,2.57971133e+04
1.34268343e-01,2.55046719e+04
1.34769350e-01,2.52314297e+04
1.35270357e-01,2.50004707e+04
1.35771364e-01,2.47695098e+04
1.36272371e-01,2.45385469e+04
1.36773378e-01,2.43075898e+04
1.37274384e-01,2.40766289e+04
1.37775391e-01,2.38456680e+04
1.38276398e-01,2.36147070e+04
1.38777405e-01,2.33837480e+04
1.39278412e-01,2.31527871e+04
1.39779419e-01,2.29218242e+04
1.40280426e-01,2.26908652e+04
1.40781432e-01,2.24599043e+04
1.41282439e-01,2.22289453e+04
1.41783446e-01,2.19979805e+04
1.42284453e-01,2.17670234e+04
1.42785460e-01,2.15360625e+04
1.43286467e-01,2.13380527e+04
1.43787473e-01,2.11479219e+04
1.44288480e-01,2.09577910e+04
1.44789487e-01,2.07676582e+04
1.45290494e-01,2.05775254e+04
1.45791501e-01,2.03873965e+04
1.46292508e-01,2.01972656e+04
1.46793514e-01,2.00071328e+04
1.47294521e-01,1.98170020e+04
1.47795528e-01,1.96268711e+04
1.48296535e-01,1.94367402e+04
1.48797542e-01,1.92466074e+04
1.49298549e-01,1.90564785e+04
1.49799556e-01,1.88663438e+04
1.50300562e-01,1.86972422e+04
1.50801569e-01,1.85332188e+04
1.51302576e-01,1.83691953e+04
1.51803583e-01,1.82051719e+04
1.52304590e-01,1.80411484e+04
1.52805597e-01,1.78771250e+04
1.53306603e-01,1.77131016e+04
1.53807610e-01,1.75490781e+04
1.54308617e-01,1.73850547e+04
1.54809624e-01,1.72210313e+04
1.55310631e-01,1.70570078e+04
1.55811638e-01,1.68981367e+04
1.56312644e-01,1.67516113e+04
1.56813651e-01,1.66050840e+04
1.57314658e-01,1.64585605e+04
1.57815665e-01,1.63120342e+04
1.58316672e-01,1.61655107e+04
1.58817679e-01,1.60189844e+04
1.59318686e-01,1.58724590e+04
1.59819692e-01,1.57259346e+04
1.60320699e-01,1.55794082e+04
1.60821706e-01,1.54443818e+04
1.61322713e-01,1.53108438e+04
1.61823720e-01,1.51773047e+04
1.62324727e-01,1.50437666e+04
1.62825733e-01,1.49102305e+04
1.63326740e-01,1.47766904e+04
1.63827747e-01,1.46431533e+04
1.64328754e-01,1.45110488e+04
