X_m,Mach
1.60320699e-01,2.35997510e+00
1.60821706e-01,2.36547184e+00
1.61322713e-01,2.37096238e+00
1.61823720e-01,2.37646985e+00
1.62324727e-01,2.38199449e+00
1.62825733e-01,2.38753629e+00
1.63326740e-01,2.39309573e+00
1.63827747e-01,2.39867210e+00
1.64328754e-01,2.40424252e+00
1.64829761e-01,2.40969515e+00
1.65330768e-01,2.41516447e+00
1.65831774e-01,2.42065096e+00
1.66332781e-01,2.42615438e+00
1.66833788e-01,2.43167496e+00
1.67334795e-01,2.43721271e+00
1.67835802e-01,2.44266081e+00
1.68336809e-01,2.44810557e+00
1.68837816e-01,2.45356774e+00
1.69338822e-01,2.45904613e+00
1.69839829e-01,2.46454167e+00
1.70340836e-01,2.46997857e+00
1.70841843e-01,2.47539020e+00
1.71342850e-01,2.48081851e+00
1.71843857e-01,2.48626399e+00
1.72344863e-01,2.49169397e+00
1.72845870e-01,2.49709201e+00
1.73346877e-01,2.50250697e+00
1.73847884e-01,2.50793815e+00
1.74348891e-01,2.51332688e+00
1.74849898e-01,2.51872587e+00
1.75350904e-01,2.52413988e+00
1.75851911e-01,2.52952480e+00
1.76352918e-01,2.53492618e+00
1.76853925e-01,2.54039168e+00
1.77354932e-01,2.54590106e+00
1.77855939e-01,2.54960799e+00
1.78356946e-01,2.55242348e+00
